full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
  1487 Boda (1938 WC),MBA,N,N,11.29,25.671,0.097,11.025,,,0.1244,3.136,2.746,2.47,97.03,106.72,106.03,0.1775,2030.0,1.74,0,9374
  1488 Aura (1938 XE),MBA,N,N,10.25,24.665,0.139,99.7,,,0.1137,3.042,2.696,10.55,354.23,115.18,148.83,0.1858,1940.0,1.73,0,5790
  1489 Attila (1939 GC),MBA,N,N,11.74,26.789,0.089,11.28,,,0.1535,3.186,2.697,2.47,154.56,26.81,77.23,0.1733,2080.0,1.7,0,8199
  1490 Limpopo (1936 LB),MBA,N,N,12.13,14.844,0.068,6.647,,,0.1555,2.352,1.986,10.02,254.22,90.7,217.94,0.2733,1320.0,1.01,0,6634
  1491 Balduinus (1938 EJ),OMB,N,N,11.38,21.941,0.048,15.315,,,0.1277,3.241,2.827,3.64,312.99,160.63,123.43,0.1689,2130.0,1.84,0,5705
  1492 Oppolzer (1938 FL),MBA,N,N,12.98,12.27,0.089,3.76945,,,0.117,2.173,1.919,6.06,137.7,81.89,105.12,0.3077,1170.0,0.921,0,6583
  1493 Sigrid (1938 QB),MBA,N,N,12.11,28.905,0.034,43.296,,,0.2008,2.43,1.942,2.58,330.54,1.53,19.05,0.2602,1380.0,0.93,0,5691
  1494 Savo (1938 SJ),MBA,N,N,12.29,7.804,0.349,5.35011,,,0.1308,2.19,1.904,2.46,194.97,184.51,306.3,0.3041,1180.0,0.905,0,5559
  1495 Helsinki (1938 SW),MBA,N,N,11.65,12.235,0.274,5.33116,,,0.1539,2.642,2.235,12.71,12.91,269.26,184.62,0.2295,1570.0,1.26,0,10073
  1496 Turku (1938 SA1),MBA,N,N,12.57,7.758,0.203,6.47,,,0.1629,2.205,1.846,2.5,294.26,1.21,272.82,0.301,1200.0,0.828,0,7134
  1497 Tampere (1938 SB1),MBA,N,N,11.48,15.519,0.127,3.30237,,,0.0829,2.895,2.655,1.06,299.89,27.86,284.89,0.2001,1800.0,1.64,0,6405
  1498 Lahti (1938 SK1),MBA,N,N,11.85,31.605,0.034,58.0,,,0.2347,3.105,2.376,12.66,265.05,96.97,348.0,0.1802,2000.0,1.41,0,5839
  1499 Pori (1938 UF),MBA,N,N,11.44,14.896,0.24,3.3557,,,0.1857,2.67,2.174,12.18,239.55,74.57,38.81,0.2259,1590.0,1.2,0,7985
  1500 Jyvaskyla (1938 UH),MBA,N,N,12.74,8.095,0.161,8.8268,,,0.1896,2.242,1.817,7.43,19.87,17.24,333.33,0.2935,1230.0,0.825,0,8854
  1501 Baade (1938 UJ),MBA,N,N,11.94,10.798,0.263,15.29,,,0.2408,2.544,1.931,7.3,16.85,14.08,153.02,0.2429,1480.0,0.937,0,5706
  1502 Arenda (1938 WB),MBA,N,N,11.49,35.518,0.034,45.8,,,0.0871,2.732,2.494,4.09,204.28,272.55,54.95,0.2183,1650.0,1.51,0,5750
  1503 Kuopio (1938 XD),MBA,N,N,10.64,22.985,0.399,9.957,,,0.1015,2.627,2.361,12.34,316.8,178.77,128.91,0.2315,1560.0,1.37,0,7964
  1504 Lappeenranta (1939 FM),MBA,N,N,11.81,11.336,0.27,15.19,,,0.1558,2.4,2.026,11.05,94.71,51.34,143.19,0.265,1360.0,1.06,0,6947
  1505 Koranna (1939 HH),MBA,N,N,11.44,22.277,0.107,4.451,,,0.1336,2.659,2.303,14.51,248.12,344.56,335.31,0.2274,1580.0,1.29,0,7574
  1506 Xosa (1939 JC),MBA,N,N,12.13,13.963,0.157,292.0,,,0.2617,2.571,1.898,12.57,234.46,45.18,335.0,0.2391,1510.0,0.903,0,8513
  1507 Vaasa (1939 RD),MBA,N,N,13.69,4.648,0.444,34.07,,,0.2442,2.333,1.763,9.22,292.77,50.62,84.19,0.2766,1300.0,0.769,0,4177
  1509 Esclangona (1938 YG),IMB,N,N,12.66,8.17,0.2327,3.25283,,,0.0322,1.866,1.806,22.32,283.47,267.6,305.07,0.3865,931.0,0.843,0,7867
  1510 Charlois (1939 DC),MBA,N,N,11.72,24.507,0.118,5.866,,,0.1496,2.672,2.272,11.83,331.32,164.55,334.65,0.2256,1600.0,1.29,0,9529
  1511 Dalera (1939 FB),MBA,N,N,12.94,13.515,0.08,3.88,,,0.1083,2.358,2.102,4.07,81.7,96.83,332.98,0.2722,1320.0,1.11,0,7680
  1512 Oulu (1939 FE),OMB,N,N,9.54,79.872,0.039,132.3,,,0.1426,3.969,3.403,6.47,10.06,237.17,349.9,0.1247,2890.0,2.39,0,6961
  1513 Matra (1940 EB),MBA,N,N,13.2,6.603,0.189,117.6,,,0.0982,2.193,1.978,3.98,136.13,27.51,154.85,0.3035,1190.0,0.986,0,5629
  1514 Ricouxa (A906 QG),MBA,N,N,12.73,7.784,0.228,10.438,,,0.2004,2.24,1.791,4.54,145.76,179.46,203.48,0.294,1220.0,0.777,0,7201
  1515 Perrotin (1936 VG),MBA,N,N,12.86,6.505,0.24,13.965,,,0.2358,2.571,1.965,10.68,49.16,350.46,225.4,0.239,1510.0,0.974,0,5452
  1516 Henry (1938 BG),MBA,N,N,12.08,26.442,0.039,17.599,,,0.1857,2.622,2.135,8.75,125.81,93.86,194.01,0.2322,1550.0,1.15,0,9471
  1517 Beograd (1938 FD),MBA,N,N,11.4,39.524,0.05,6.943,,,0.0433,2.716,2.598,5.27,63.83,229.29,102.01,0.2202,1630.0,1.58,0,12390
