id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody
2276111,276111 (2002 GM9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276111,18.6,0.5064714588,1.1325046106,False,False,1926-01-21,30480.0895220426,11435041.767604071,Mars
2276409,276409 (2002 YN2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276409,18.62,0.5018281006,1.1221217459,False,False,,,,
2276703,276703 (2004 BL11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276703,19.3,0.3669061375,0.8204270649,False,False,1900-04-05,80094.616031659,26897554.593867973,Earth
2276891,276891 (2004 RH340),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276891,19.53,0.3300311834,0.7379721607,False,False,1900-02-08,57536.1412914355,14640761.538738955,Venus
2277039,277039 (2005 CF41),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277039,18.55,0.5182686946,1.1588840318,False,False,1911-01-31,52202.2021890642,13981356.223384354,Venus
2277127,277127 (2005 GW119),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277127,18.76,0.4704949611,1.0520587161,False,False,2142-12-21,16034.246896178,14166780.135367055,Mars
2277617,277617 (2006 BT7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277617,18.23,0.6005580277,1.3428885744,False,False,1939-02-02,68687.8417967332,14887856.888393203,Merc
2276274,276274 (2002 SS41),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276274,17.21,0.9606274149,2.1480282008,False,False,,,,
2276468,276468 (2003 HQ32),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276468,18.07,0.6464798256,1.4455728362,False,False,1956-01-27,64421.4300278832,8900288.070659731,Mars
2277142,277142 (2005 LG8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277142,16.79,1.1656145947,2.6063934693,False,False,1963-12-23,145774.8012863081,3444853.641826028,Merc
2277279,277279 (2005 SA71),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277279,18.96,0.4290965044,0.9594889528,False,False,1980-07-19,36665.5725650182,3730175.16672947,Mars
2277810,277810 (2006 FV35),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277810,21.73,0.1198270801,0.2679414966,False,False,1906-10-01,37186.1002671354,18558307.678608537,Venus
2283457,283457 (2001 MQ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2283457,19.1,0.4023045798,0.8995803882,False,False,1941-09-08,19494.0528510521,61220931.330493157,Earth
2285110,285110 (1995 MA1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2285110,17.26,0.9387608653,2.0991331094,False,False,,,,
2277958,277958 (2006 SP134),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277958,16.84,1.1390819672,2.5470647106,False,False,1908-04-19,70327.5195207157,10958054.29975303,Venus
2279744,279744 (1998 KM3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2279744,19.86,0.283501249,0.6339280645,True,False,1905-05-06,46696.1686686248,14480113.99606608,Mars
