id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
2436325,436325 (2010 GR7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2436325,18.36,0.5656593584,1.2648527775,False,False,1913-11-16,162849.2699456672,12852843.71741798,Merc,APO,Y,N,18.36,0.452,0.378,,,,0.8456,1.831,0.283,24.13,157.55,192.01,75.21,0.3977,905.0,0.283,0.0,224
2438897,438897 (2009 WN),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2438897,18.83,0.4555698523,1.0186851583,False,False,1926-02-26,59757.4123750145,14755592.609434577,Mars,AMO,Y,N,18.83,0.946,0.06,,,,0.2215,1.38,1.074,32.79,249.33,236.18,282.41,0.6079,592.0,0.174,0.0,260
2438990,438990 (2010 SG13),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2438990,18.34,0.57089334,1.2765563162,False,False,1900-05-31,110086.3334849652,16968632.66115269,Earth,APO,Y,N,18.34,0.818,0.126,,,,0.7485,1.252,0.315,33.8,252.94,225.13,235.36,0.7032,512.0,0.0641,0.0,122
2441952,441952 (2010 LR68),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2441952,18.39,0.5578982211,1.2474983468,False,False,1905-10-23,30989.9373899213,41824065.55229793,Earth,AMO,Y,N,18.39,2.246,0.017,,,,0.587,3.096,1.279,4.71,109.01,299.82,288.4,0.1809,1990.0,0.3,0.0,418
2443923,443923 (2002 RU25),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2443923,17.57,0.8138698807,1.819868378,False,False,,,,,AMO,Y,N,17.57,3.316,0.018,119.4,,,0.4826,2.178,1.127,28.9,5.02,306.41,99.11,0.3067,1170.0,0.248,0.0,780
2444193,444193 (2005 SE71),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2444193,18.19,0.6117232351,1.367854737,True,False,1902-04-26,44927.8258841597,25963053.097139742,Earth,APO,Y,Y,18.19,0.437,0.503,66.8,,,0.1944,1.07,0.862,24.83,39.1,78.3,19.16,0.891,404.0,0.00228,0.0,487
2445025,445025 (2008 NS1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2445025,17.43,0.8680704579,1.9410645532,False,False,1911-05-31,73786.1656145303,46655582.03314184,Earth,APO,Y,N,17.43,2.098,0.04,,,,0.8092,2.408,0.459,13.47,305.78,211.12,230.93,0.2637,1370.0,0.17,0.0,88
2438902,438902 (2009 WF104),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2438902,17.5,0.8405334021,1.8794898244,False,False,1903-06-01,35802.4634886906,220662549.10257268,Juptr,AMO,Y,N,17.5,2.226,0.047,56.5,,,0.6559,3.083,1.061,16.97,81.63,94.4,312.39,0.182,1980.0,0.278,0.0,938
2439889,439889 (2000 PG5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2439889,20.38,0.2231284644,0.4989304142,False,False,1985-07-03,49082.815309388,62800246.15689917,Earth,AMO,Y,N,20.38,0.59,0.046,,,,0.458,2.088,1.132,6.12,309.69,358.86,141.85,0.3266,1100.0,0.116,0.0,235
2442037,442037 (2010 PR66),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2442037,19.26,0.3737274319,0.8356799428,True,False,1917-10-28,28219.9161389594,202520559.56539536,Juptr,APO,Y,Y,19.26,0.695,0.063,2.0734,,,0.6874,2.928,0.915,17.6,292.75,319.53,29.0,0.1967,1830.0,0.00257,0.0,671
2443806,443806 (1998 FL3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2443806,21.72,0.1203801767,0.2691782583,True,False,1906-03-25,49478.8979792423,60724286.672604546,Earth,APO,Y,Y,21.72,0.288,0.034,,,,0.2478,1.26,0.948,26.38,180.1,121.34,111.29,0.6968,517.0,0.0397,0.0,59
2443837,443837 (2000 TJ1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2443837,19.68,0.3080030213,0.6887156928,False,False,,,,,AMO,Y,N,19.68,0.253,0.399,14.09,,,0.0808,1.16,1.067,39.54,190.41,52.5,158.17,0.7885,457.0,0.0978,0.0,684
2445305,445305 (2010 DM56),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2445305,19.81,0.2901048414,0.648694146,True,False,1936-09-19,51087.3810236708,19069256.45099273,Earth,APO,Y,Y,19.81,0.762,0.025,,,,0.2926,1.306,0.924,25.6,349.6,48.17,254.76,0.6601,545.0,0.00703,0.0,346
2428223,428223 (2006 WW),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2428223,16.02,1.6617090174,3.7156943217,False,False,1907-01-05,34280.820196403,95266347.62508655,Juptr,APO,Y,N,16.02,2.525,0.101,,,,0.8696,2.697,0.352,31.81,87.89,198.38,135.5,0.2225,1620.0,0.399,0.0,367
2429073,429073 (2009 ND1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2429073,17.23,0.9518203298,2.1283349598,False,False,1905-11-01,20204.3241744917,40583031.18331704,Earth,AMO,Y,N,17.23,2.498,0.041,,,,0.571,2.733,1.172,11.83,97.94,292.28,176.32,0.2182,1650.0,0.264,0.0,228
2429746,429746 (2011 SA16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2429746,17.27,0.9344476509,2.0894884689,False,False,1905-11-19,25630.7006019156,213469739.300626,Juptr,AMO,Y,N,17.27,1.275,0.131,,,,0.5328,2.732,1.276,20.12,275.39,317.46,109.18,0.2183,1650.0,0.325,0.0,178
2433953,433953 (1997 XR2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2433953,20.91,0.1748054532,0.3908768761,True,False,1901-06-17,17431.6882357117,16779017.5853245,Earth,APO,Y,Y,20.91,0.259,0.115,9.3205,,,0.2009,1.077,0.86,7.19,250.62,84.52,84.77,0.8824,408.0,0.0011,0.0,548
2434096,434096 (2002 GO5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2434096,18.15,0.6230960191,1.3932850552,True,False,1902-09-22,70533.3151136466,40788477.99229032,Earth,APO,Y,Y,18.15,0.528,0.431,,,,0.7679,1.896,0.44,13.77,22.59,65.37,35.8,0.3776,953.0,0.0311,0.0,263
2434633,434633 (2005 WB1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2434633,20.7,0.1925550782,0.4305662442,True,False,1907-05-28,52880.0960311848,9787503.505774975,Earth,APO,Y,Y,20.7,0.31,0.039,,,,0.3553,1.264,0.815,22.88,61.4,265.78,81.59,0.6939,519.0,0.0454,0.0,277
2435404,435404 (2008 AT28),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2435404,18.63,0.4995224099,1.1169660648,False,False,1905-11-20,5479.1610465178,64005616.04959696,Earth,AMO,Y,N,18.63,0.921,0.083,,,,0.4424,2.21,1.232,8.86,130.26,263.95,202.4,0.3,1200.0,0.292,0.0,372
2436671,436671 (2011 SV71),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2436671,18.0,0.6676594135,1.4929318344,True,False,1906-05-13,30521.6568526419,280295048.7833467,Juptr,AMO,Y,Y,18.0,2.159,0.024,,,,0.6081,2.635,1.032,13.39,80.6,190.72,155.11,0.2305,1560.0,0.0213,0.0,205
2434632,434632 (2005 WE),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2434632,19.88,0.2809020939,0.6281161771,False,False,1905-07-23,33733.4417975633,23686485.591856353,Earth,APO,Y,N,19.88,1.15,0.019,,,,0.2513,1.151,0.862,12.37,289.91,22.66,144.74,0.798,451.0,0.129,0.0,260
2436329,436329 (2010 GX62),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2436329,20.09,0.2550086879,0.5702167609,True,False,1903-05-13,90542.3417707752,41870947.81934021,Earth,APO,Y,Y,20.09,0.622,0.012,,,,0.6989,2.971,0.895,21.82,206.92,317.0,33.14,0.1924,1870.0,0.000481,0.0,182
2436761,436761 (2012 DN),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2436761,18.2,0.6089126221,1.3615700154,False,False,1944-08-27,60186.8235696203,15683568.093561286,Earth,APO,Y,N,18.2,2.773,0.013,,,,0.5932,2.235,0.909,19.95,143.25,247.33,96.65,0.295,1220.0,0.103,0.0,151
2438107,438107 (2005 GY110),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2438107,18.36,0.5656593584,1.2648527775,False,False,1927-03-25,68306.0182951295,21759060.740620278,Venus,APO,Y,N,18.36,0.663,0.191,,,,0.6864,1.849,0.58,12.65,294.6,169.16,88.38,0.3921,918.0,0.215,0.0,113
2442742,442742 (2012 WP3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2442742,17.81,0.7287104149,1.6294460236,False,False,2034-02-01,44918.3780092242,13044158.569124475,Mars,AMO,Y,N,17.81,2.003,0.04,221.0,,,0.3842,2.1,1.293,22.57,227.14,141.72,128.17,0.3239,1110.0,0.348,0.0,1252
2443880,443880 (2001 UZ16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2443880,19.38,0.3536347843,0.7907514169,True,False,2001-09-26,35937.3492523923,29289210.298665944,Earth,APO,Y,Y,19.38,0.228,0.593,13.719,,,0.4265,1.76,1.009,12.67,323.09,28.63,128.94,0.4221,853.0,0.0292,0.0,451
2439898,439898 (2000 TG2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2439898,19.99,0.2670268771,0.5970902489,False,False,1908-09-17,19767.749089136,61650126.33298148,Earth,AMO,Y,N,19.99,0.53,0.063,,,,0.2454,1.522,1.148,12.0,206.82,200.43,113.7,0.5251,686.0,0.163,0.0,273
2441987,441987 (2010 NY65),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2441987,21.35,0.1427430515,0.3191831664,True,False,1900-11-12,53697.170323426,22511458.335934926,Earth,APO,Y,Y,21.35,0.228,0.071,4.9706,,,0.3701,1.004,0.632,11.54,267.92,252.09,207.8,0.9803,367.0,0.0185,0.0,999
2442605,442605 (2012 HY33),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2442605,19.29,0.3685996993,0.8242139842,False,False,1916-10-21,47613.8187355871,26584899.683101945,Earth,APO,Y,N,19.29,0.44,0.209,,,,0.5437,1.997,0.911,14.7,63.57,270.8,238.56,0.3492,1030.0,0.163,0.0,138
