full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
  9202 (1993 PB),APO,Y,N,16.1,1.617,0.332,,,,0.6078,1.424,0.558,40.8,315.89,212.36,97.11,0.5801,621.0,0.374,0.0,2216
  9400 (1994 TW1),AMO,Y,N,14.84,3.698,0.155,97.1,,,0.5807,2.588,1.085,35.98,3.35,62.17,145.88,0.2367,1520.0,0.285,0.0,2285
  9856 (1991 EE),APO,Y,Y,17.09,1.0,0.3,3.045,,,0.6258,2.243,0.839,9.83,168.1,116.2,72.0,0.2934,1230.0,0.0222,0.0,1365
 10115 (1992 SK),APO,Y,Y,17.14,0.938,0.318,7.319,,,0.3249,1.249,0.843,15.32,8.87,233.74,7.08,0.7064,510.0,0.0464,0.0,2899
 10165 (1995 BL2),APO,Y,N,17.36,0.829,0.372,,,,0.5039,1.235,0.613,23.9,312.42,348.47,19.09,0.7185,501.0,0.376,0.0,1384
 10636 (1998 QK56),APO,Y,N,17.7,0.533,0.645,9.876,,,0.5128,1.885,0.918,13.57,172.92,286.34,151.61,0.3809,945.0,0.11,0.0,877
 11066 Sigurd (1992 CC1),APO,Y,N,15.17,2.104,0.19,8.4958,,,0.3754,1.392,0.869,36.88,349.22,22.02,315.33,0.6004,600.0,0.119,0.0,2680
 11398 (1998 YP11),AMO,Y,N,16.36,1.316,0.318,38.6,,,0.3891,1.721,1.051,15.02,144.71,74.77,281.68,0.4365,825.0,0.202,0.0,4796
 11405 (1999 CV3),APO,Y,N,15.22,3.621,0.112,6.504,,,0.3938,1.46,0.885,22.86,141.22,96.45,17.42,0.559,644.0,0.117,0.0,7282
 11500 Tomaiyowit (1989 UR),APO,Y,Y,18.38,0.738,0.142,73.0,,,0.3558,1.08,0.696,10.31,234.38,289.52,314.93,0.8783,410.0,0.0344,0.0,1235
 11885 Summanus (1990 SS),APO,Y,N,18.52,1.298,0.033,7.368,,,0.4745,1.703,0.895,19.43,359.76,116.23,236.65,0.4434,812.0,0.0664,0.0,397
 12538 (1998 OH),APO,Y,Y,15.96,1.663,0.232,2.575,,,0.4059,1.542,0.916,24.54,220.69,321.79,163.01,0.5149,699.0,0.0302,0.0,11576
 12923 Zephyr (1999 GK4),APO,Y,Y,15.8,2.06,0.199,3.893,,,0.4927,1.962,0.995,5.31,168.08,147.21,194.88,0.3586,1000.0,0.02,0.0,3008
 13651 (1997 BR),APO,Y,Y,17.87,0.562,0.511,33.644,,,0.3057,1.336,0.927,17.25,116.63,133.85,158.08,0.6386,564.0,0.0156,0.0,1174
 14402 (1991 DB),AMO,Y,N,18.77,0.6,0.14,2.261,,,0.4017,1.715,1.026,11.41,158.14,51.53,141.06,0.4389,820.0,0.102,0.0,693
 14827 Hypnos (1986 JK),APO,Y,Y,18.81,0.9,,,,,0.6643,2.851,0.957,1.97,57.73,238.64,103.4,0.2048,1760.0,0.0158,0.0,378
 16064 Davidharvey (1999 RH27),AMO,Y,N,16.86,4.106,0.02,178.5,,,0.5893,2.851,1.171,4.54,335.53,104.81,125.86,0.2048,1760.0,0.203,0.0,1054
 16834 (1997 WU22),APO,Y,N,15.75,1.87,0.22,9.345,,,0.4422,1.468,0.819,16.0,260.75,334.4,109.14,0.5542,650.0,0.147,0.0,4979
 17182 (1999 VU),APO,Y,N,17.13,2.885,0.028,6.61,,,0.5534,1.387,0.619,9.27,333.48,203.22,267.06,0.6034,597.0,0.144,0.0,1589
 17188 (1999 WC2),APO,Y,N,16.42,1.819,0.147,5.0638,,,0.6367,2.216,0.805,29.45,269.76,287.22,292.04,0.2987,1210.0,0.0632,0.0,817
 17274 (2000 LC16),AMO,Y,N,16.87,3.183,0.037,16.495,,,0.5541,2.731,1.218,5.57,305.7,21.32,216.83,0.2184,1650.0,0.207,0.0,1930
 19356 (1997 GH3),AMO,Y,N,17.0,0.91,0.34,6.714,,,0.5578,2.512,1.111,3.01,186.46,334.14,93.24,0.2475,1450.0,0.121,0.0,575
 19764 (2000 NF5),AMO,Y,N,16.11,1.572,0.342,59.263,,,0.4447,2.233,1.24,1.33,281.38,9.87,224.5,0.2955,1220.0,0.222,0.0,3231
 20460 Robwhiteley (1999 LO28),AMO,Y,N,15.41,2.716,0.199,2.7209,,,0.4118,1.877,1.104,33.95,279.99,283.74,136.82,0.3834,939.0,0.329,0.0,5537
 20826 (2000 UV13),APO,Y,N,13.85,3.687,0.123,5.313,,,0.6365,2.418,0.879,31.93,347.29,198.69,198.24,0.2622,1370.0,0.093,0.0,3786
 21088 Chelyabinsk (1992 BL2),AMO,Y,N,14.34,2.793,0.206,11.23,,,0.2387,1.706,1.299,38.46,297.83,27.2,205.19,0.4422,814.0,0.306,0.0,8059
 22099 (2000 EX106),APO,Y,N,18.09,0.524,0.444,6.334,,,0.2763,1.104,0.799,9.85,136.43,186.57,299.82,0.8491,424.0,0.168,0.0,2345
 23183 (2000 OY21),AMO,Y,N,16.05,1.098,0.64,6.9809,,,0.4009,1.824,1.093,40.98,119.63,301.49,39.12,0.4001,900.0,0.256,0.0,1505
 23606 (1996 AS1),AMO,Y,N,18.39,0.866,0.123,,,,0.3609,1.751,1.119,14.36,296.6,357.66,160.53,0.4255,846.0,0.101,0.0,762
 25143 Itokawa (1998 SF36),APO,Y,Y,19.26,0.33,,12.132,2.1e-09,1.9,0.2802,1.324,0.953,1.62,69.08,162.85,41.26,0.6469,557.0,0.0133,0.0,1025
 25330 (1999 KV4),APO,Y,N,16.75,3.21,0.052,4.919,,,0.3709,1.541,0.969,14.33,50.51,86.1,335.29,0.5154,698.0,0.173,0.0,3837
 25916 (2001 CP44),AMO,Y,N,13.76,5.683,0.177,4.6021,,,0.4998,2.558,1.279,15.76,94.64,199.7,282.57,0.2409,1490.0,0.273,0.0,4605
 26760 (2001 KP41),AMO,Y,N,15.5,5.4,0.042,5.3,,,0.557,2.854,1.264,11.01,146.25,155.14,10.99,0.2044,1760.0,0.26,0.0,2232
 26817 (1987 QB),AMO,Y,N,19.49,1.172,0.027,,,,0.5937,2.806,1.14,3.5,153.16,156.61,60.88,0.2097,1720.0,0.127,0.0,108
